ARI,Arizona Cardinals,NFC,NFC West,cardinals
ATL,Atlanta Falcons,NFC,NFC South,falcons
BAL,Baltimore Ravens,AFC,AFC North,ravens
BUF,Buffalo Bills,AFC,AFC East,bills
CAR,Carolina Panthers,NFC,NFC South,panthers
CHI,Chicago Bears,NFC,NFC North,bears
CIN,Cincinnati Bengals,AFC,AFC North,bengals
CLE,Cleveland Browns,AFC,AFC North,browns
DAL,Dallas Cowboys,NFC,NFC East,cowboys
DEN,Denver Broncos,AFC,AFC West,broncos
DET,Detroit Lions,NFC,NFC North,lions
GB,Green Bay Packers,NFC,NFC North,packers
HOU,Houston Texans,AFC,AFC South,texans
IND,Indianapolis Colts,AFC,AFC South,colts
JAC,Jacksonville Jaguars,AFC,AFC South,jaguars
KC,Kansas City Chiefs,AFC,AFC West,chiefs
MIA,Miami Dolphins,AFC,AFC East,dolphins
MIN,Minnesota Vikings,NFC,NFC North,vikings
NE,New England Patriots,AFC,AFC East,patriots
NO,New Orleans Saints,NFC,NFC South,saints
NYJ,New York Jets,AFC,AFC East,jets
NYG,New York Giants,NFC,NFC East,giants
OAK,Oakland Raiders,AFC,AFC West,raiders
PHI,Philadelphia Eagles,NFC,NFC East,eagles
PIT,Pittsburgh Steelers,AFC,AFC North,steelers
SD,San Diego Chargers,AFC,AFC West,chargers
SF,San Francisco 49ers,NFC,NFC West,49ers
SEA,Seattle Seahawks,NFC,NFC West,seahawks
STL,St. Louis Rams,NFC,NFC West,rams
TB,Tampa Bay Buccaneers,NFC,NFC South,buccaneers
TEN,Tennessee Titans,AFC,AFC South,titans
WAS,Washington Redskins,NFC,NFC East,redskins
